ID;CV_Sentences;Sentences_CV_clean;CV_Number;Sentence_line;Nb_tokens;%texte_lu;%texte_lu_fin_ligne;Is_alpha;Grammar;Label
ID1;SELMA LAFKIR CORDE 80 CODEUSE ENTHOUSIASTE;SELMA LAFKIR CORDE 80 CODEUSE ENTHOUSIASTE;CV_1;0;6;2.80;97.20;[True, True, True, False, True, True];['NOUN', 'PROPN', 'VERB', 'NUM', 'PROPN', 'PROPN'];1
ID2;PROFIL;PROFIL;CV_1;1;1;3.27;96.73;[True];['NOUN'];0
ID3;PERSONNEL Je suis étudiante au lycée Condorcet.;PERSONNEL Je suis étudiante au lycée Condorcet.;CV_1;2;8;7.01;92.99;[True, True, True, True, True, True, True, False];['NOUN', 'PRON', 'AUX', 'ADJ', 'ADP', 'NOUN', 'PROPN', 'PUNCT'];0
ID4;Je code depuis l'âge de 13 ans et j'aime créer des sites Web et utiliser la technologie pour aider les gens.;Je code depuis l'âge de 13 ans et j'aime créer des sites Web et utiliser la technologie pour aider les gens.;CV_1;3;24;18.22;81.78;[True, True, True, False, True, True, False, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, False];['PRON', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'NUM', 'NOUN', 'CCONJ', 'PRON', 'VERB', 'VERB', 'DET', 'NOUN', 'PROPN', 'CCONJ', 'VERB', 'DET', 'NOUN', 'ADP', 'VERB', 'DET', 'NOUN', 'PUNCT'];0
ID5;RÉALISATIONS;RÉALISATIONS;CV_1;4;1;18.69;81.31;[True];['NOUN'];0
ID6;Chef d'équipe du site Web du lycée;Chef d'équipe du site Web du lycée;CV_1;5;8;22.43;77.57;[True, False, True, True, True, True, True, True];['NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'ADP', 'NOUN'];0
ID7;-;-;CV_1;6;1;22.90;77.10;[False];['PUNCT'];0
ID8;Vice-présidente du club cinématographique du lycée;Vice-présidente du club cinématographique du lycée;CV_1;7;6;25.70;74.30;[False, True, True, True, True, True];['NOUN', 'ADP', 'NOUN', 'ADJ', 'ADP', 'NOUN'];0
ID9;- Trésorière de la société des codeurs du lycée -;- Trésorière de la société des codeurs du lycée -;CV_1;8;10;30.37;69.63;[False, True, True, True, True, True, True, True, True, False];['PUNCT', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'NOUN'];0
ID10;Premier prix au Hackathon de Condorcet EXPÉRIENCE Tuteur en mathématiques;Premier prix au Hackathon de Condorcet EXPÉRIENCE Tuteur en mathématiques;CV_1;9;10;35.05;64.95;[True, True, True, True, True, True, True, True, True, True];['ADJ', 'NOUN', 'ADP', 'NOUN', 'ADP', 'PROPN', 'NOUN', 'NOUN', 'ADP', 'NOUN'];0
ID11;Centre scolaire de Condorcet Jan 2019;Centre scolaire de Condorcet Jan 2019;CV_1;10;6;37.85;62.15;[True, True, True, True, True, False];['NOUN', 'ADJ', 'ADP', 'PROPN', 'PROPN', 'NUM'];0
ID12;- présent • Cours particuliers avec des élèves du secondaire sur différents domaines des mathématiques • Cours d'algèbre Développeuse stagiaire;- présent • Cours particuliers avec des élèves du secondaire sur différents domaines des mathématiques • Cours d'algèbre Développeuse stagiaire;CV_1;11;21;47.66;52.34;[False, True, False, True, True, True, True, True, True, True, True, True, True, True, True, False, True, False, True, True, True];['PUNCT', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PROPN', 'NOUN'];0
ID13;| Berou Solutions, Inc.;| Berou Solutions, Inc.;CV_1;12;6;50.47;49.53;[False, True, True, False, True, False];['PUNCT', 'PROPN', 'NOUN', 'PUNCT', 'PROPN', 'PUNCT'];0
ID14;mars;mars;CV_1;13;1;50.93;49.07;[True];['NOUN'];0
ID15;- mai 2019 Traduction de wireframes en code frontal Aide à la création d'une application de commande en ligne Recherche d'utilisateurs effectuée par le biais d'enquêtes et d'entretiens PARCOURS SCOLAIRE;- mai 2019 Traduction de wireframes en code frontal Aide à la création d'une application de commande en ligne Recherche d'utilisateurs effectuée par le biais d'enquêtes et d'entretiens PARCOURS SCOLAIRE;CV_1;14;34;66.82;33.18;[False, True, False, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, False, True, True, True, True, True, False, True, True, False, True, True, True];['PUNCT', 'NOUN', 'NUM', 'PROPN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'ADP', 'NOUN', 'ADP', 'NOUN'];0
ID16;Lycée de Condorcet;Lycée de Condorcet;CV_1;15;3;68.22;31.78;[True, True, True];['NOUN', 'ADP', 'PROPN'];0
ID17;· Spécialisation en technologie;· Spécialisation en technologie;CV_1;16;4;70.09;29.91;[False, True, True, True];['ADJ', 'NOUN', 'ADP', 'NOUN'];0
ID18;| Classe de 2020 •;| Classe de 2020 •;CV_1;17;5;72.43;27.57;[False, True, True, False, False];['PUNCT', 'NOUN', 'ADP', 'PRON', 'ADP'];0
ID19;Diplômée avec une moyenne de 16/20 • Membre de l'association des étudiants en histoire;Diplômée avec une moyenne de 16/20 • Membre de l'association des étudiants en histoire;CV_1;18;15;79.44;20.56;[True, True, True, True, True, False, False, True, True, False, True, True, True, True, True];['NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN'];0
